메뉴 이름,재료,날씨,시간,종류,분류,배달용
토마토 푸실리 파스타,"푸실리, 면, 토마토, 양파, 마늘, 올리브오일",보통,낮,면,양식,T
함박스테이크,"소고기, 돼지고기, 양파, 마늘, 버섯, 케첩",추움,낮,메인,양식,T
아스파라거스볶음,"아스파라거스, 올리브오일",보통,낮,반찬,양식,F
연어샐러드,"연어, 생선, 채소, 양상추, 양배추, 방울토마토",더움,낮,반찬,양식,T
목살구이,"목살, 돼지고기",더움,밤,메인,한식,T
고추볶음,"고추",보통,낮,반찬,한식,F
장어덮밥,"쌀, 장어, 생강, 마늘, 파",보통,밤,밥,일식,T
삼치구이,"삼치, 생선",더움,밤,반찬,양식,T
훈제연어,"연어, 생선",보통,낮,반찬,양식,F
치즈돈까스,"돼지고기, 밀가루, 달걀, 빵가루, 치즈",보통,낮,메인,양식,T
들깨칼국수,"들깨가루, 밀가루, 면, 호박, 감자, 양파, 파, 멸치, 다시마",추움,밤,면,한식,T
비빔냉면,"면, 메밀, 밀가루, 고추장, 달걀, 오이, 무",더움,낮,면,한식,T
물냉면,"면, 메밀, 밀가루, 달걀, 오이, 무",더움,낮,면,한식,T
골뱅이무침,"골뱅이, 당근, 양파, 양배추, 깻잎, 파, 고추, 고추장",더움,낮,반찬,한식,T
너비아니구이,"소고기, 양파, 파, 마늘",보통,밤,반찬,한식,T
비프웰링턴,"소고기, 버섯, 양파, 밤, 마늘, 버터, 밀가루, 달걀",추움,밤,메인,양식,F
관자버터구이,"관자, 버터",추움,밤,반찬,양식,F
비빔국수,"면, 밀가루, 고추장, 마늘",더움,낮,면,한식,T
부추전,"밀가루, 오징어, 부추, 감자, 당근, 양파",추움,낮,반찬,한식,T
부추무침,"부추",보통,낮,반찬,한식,F
닭가슴살 샐러드,"닭고기, 닭가슴살, 채소, 양상추, 양배추, 방울토마토",더움,낮,반찬,양식,T
달걀말이,"달걀",보통,낮,반찬,한식,F
가자미구이,"가자미, 생선",보통,낮,반찬,한식,F
꽃게탕,"꽃게, 파, 고추, 양파, 된장",추움,낮,국,한식,T
새우만두,"새우, 돼지고기, 밀가루, 양파, 당면, 파, 마늘",추움,밤,메인,분식,T
소고기 뭇국,"소고기, 무, 마늘, 파",추움,낮,국,한식,T
떡볶이,"떡, 어묵, 양배추, 파, 마늘, 고추장",추움,낮,메인,분식,T
바비큐 폭립,"등갈비, 마늘, 양파, 파",추움,밤,메인,양식,T
감자샐러드,"감자, 달걀, 당근, 양파, 오이",보통,낮,반찬,양식,F
크림리조또,"쌀, 양파, 우유, 생크림, 마늘, 버섯, 치즈",추움,낮,밥,양식,T
토마토리조또,"쌀, 토마토, 마늘, 치즈, 버섯, 양파",추움,낮,밥,양식,T
치킨 버거,"빵, 밀가루, 닭고기, 양상추, 토마토, 양파",보통,낮,메인,양식,T
불고기 버거,"빵, 밀가루, 소고기, 돼지고기, 양상추, 토마토, 양파",보통,낮,메인,양식,T
토마토 달걀볶음,"토마토, 파, 달걀",보통,낮,반찬,한식,F
감자그라탕,"감자, 베이컨, 양파, 치즈, 버터, 우유, 밀가루",추움,밤,메인,양식,F
진미채볶음,"진미채, 고추장, 마요네즈",보통,낮,반찬,한식,F
멸치볶음,"멸치, 마늘",보통,낮,반찬,한식,F
토마토 라자냐,"라자냐, 토마토, 치즈, 양파, 소고기, 올리브오일, 버터, 밀가루, 우유",추움,밤,메인,양식,T
